"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"1","Amlodipine","Norvasc","Dizziness, fatigue, edema","Tablet","Hypertension, angina","None","Calcium channel blocker","Store below 30°C","5–10 mg daily","Hypotension, palpitations","5mg, 10mg","Each tablet contains amlodipine besylate","Severe hypotension","Hypertension, angina","Avoid strong CYP3A4 inhibitors","Monitor BP, avoid sudden withdrawal"
"2","Atorvastatin","Lipitor","Muscle pain, liver enzyme increase","Tablet","Hyperlipidemia","None","Statin","Store below 25°C","10–80 mg daily","Muscle toxicity, liver failure","10mg, 20mg, 40mg, 80mg","Each tablet contains atorvastatin calcium","Active liver disease","Hypercholesterolemia","CYP3A4 inhibitors increase levels","Monitor liver enzymes"
"3","Losartan","Cozaar","Dizziness, hyperkalemia","Tablet","Hypertension","Aliskiren in diabetics","ARB","Store below 30°C","50 mg daily","Hypotension","25mg, 50mg, 100mg","Losartan potassium","Pregnancy, severe renal impairment","Hypertension, heart failure","Additive with potassium-sparing diuretics","Avoid in pregnancy"
"4","Metformin","Glucophage","Nausea, diarrhea, lactic acidosis","Tablet","Type 2 diabetes","Alcohol","Biguanide","Store below 25°C","500–2000 mg daily","Lactic acidosis","500mg, 850mg, 1000mg","Metformin hydrochloride","Renal impairment","Type 2 diabetes","Cimetidine increases levels","Avoid alcohol"
"5","Telmisartan","Micardis","Dizziness, fatigue","Tablet","Hypertension","Aliskiren in diabetics","ARB","Store below 30°C","40–80 mg daily","Hypotension","40mg, 80mg","Telmisartan","Pregnancy","Hypertension","Additive with ACE inhibitors","Monitor BP regularly"
"6","Aspirin","Ecosprin","Gastric irritation, bleeding","Tablet","Pain, fever, thrombosis prevention","Alcohol","NSAID/Antiplatelet","Store below 25°C","75–325 mg daily","GI bleeding","75mg, 150mg, 325mg","Aspirin","Peptic ulcer, bleeding disorders","Pain, fever, cardiovascular prevention","Increased bleeding with anticoagulants","Take after food"
"7","Azithromycin","Zithromax","Nausea, diarrhea","Tablet/Suspension","Bacterial infections","None","Macrolide antibiotic","Store below 30°C","500 mg daily for 3 days","GI upset","250mg, 500mg","Azithromycin dihydrate","Liver dysfunction","Respiratory, skin infections","Avoid antacids within 2 hours","Complete full course"
"8","Amoxicillin","Amoxil","Rash, diarrhea","Capsule/Suspension","Bacterial infections","Allopurinol","Penicillin antibiotic","Store below 25°C","250–500 mg every 8 hours","Seizures in renal failure","250mg, 500mg","Amoxicillin trihydrate","Penicillin allergy","ENT, respiratory infections","May reduce OCP efficacy","Take with food"
"9","Clonazepam","Klonopin","Drowsiness, dependence","Tablet","Seizures, anxiety","Alcohol, opioids","Benzodiazepine","Store below 30°C","0.5–2 mg twice daily","Respiratory depression","0.5mg, 1mg, 2mg","Clonazepam","Severe liver disease","Anxiety, seizure disorders","Additive sedation with CNS depressants","Avoid long-term use"
"10","Pregabalin","Lyrica","Dizziness, weight gain","Capsule","Neuropathic pain, epilepsy","Alcohol","Anticonvulsant","Store below 25°C","75–300 mg daily","CNS depression","75mg, 150mg, 300mg","Pregabalin","Pregnancy, renal impairment","Neuropathic pain","Sedatives enhance effect","Avoid driving"
