"id","generic_name","brand_name","side_effects","dosage_forms","disorders","incompatibility","category","storage","dosage","overdose","available_strength","composition","contraindications","indications","drug_interactions","warnings"
"51","Drug_51","Brand_51","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"52","Drug_52","Brand_52","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"53","Drug_53","Brand_53","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"54","Drug_54","Brand_54","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"55","Drug_55","Brand_55","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"56","Drug_56","Brand_56","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"57","Drug_57","Brand_57","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"58","Drug_58","Brand_58","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"59","Drug_59","Brand_59","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"60","Drug_60","Brand_60","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
"61","Drug_61","Brand_61","Common side effects listed here","Tablet/Capsule","Common disorders here","None","Category placeholder","Store below 30°C","Dosage as prescribed","Overdose may cause complications","10mg, 20mg","Active ingredient placeholder","Contraindications listed here","Indications listed here","Interactions placeholder","Warnings placeholder"
